sat_num,description
25544,International Space Station
36508,"Cryosat 2, polar ice cap observations"
45623,Dragon crew module demo 2
45657,Starlink
45658,Starlink
45659,Starlink
45660,Starlink
45661,Starlink
45662,Starlink
45663,Starlink
45664,Starlink
45665,Starlink
45666,Starlink
45667,Starlink
45668,Starlink
45669,Starlink
45670,Starlink
45671,Starlink
45672,Starlink
45673,Starlink
45674,Starlink
45675,Starlink
45676,Starlink
45677,Starlink
45678,Starlink
45679,Starlink
45680,Starlink
45681,Starlink
45682,Starlink
45683,Starlink
45684,Starlink
45685,Starlink
45686,Starlink
45687,Starlink
45688,Starlink
45689,Starlink
45690,Starlink
45691,Starlink
45692,Starlink
45693,Starlink
45694,Starlink
45695,Starlink
45696,Starlink
45697,Starlink
45698,Starlink
45699,Starlink
45700,Starlink
45701,Starlink
45702,Starlink
45703,Starlink
45704,Starlink
45705,Starlink
45706,Starlink
45707,Starlink
45708,Starlink
45709,Starlink
45710,Starlink
45711,Starlink
45712,Starlink
45713,Starlink
45714,Starlink
45715,Starlink
45716,Starlink
45717,Falcon 9 DEB
45718,Falcon 9 DEB
45719,Falcon 9 DEB
45720,Falcon 9 DEB
45698,Falcon 9 DEB
45699,Falcon 9 DEB
